,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Kepler,g,r,i,z,DDO51_finf,Mact
96,1,8.51,0.13,0.53718,-1.307,3.6,4.821,11.8,0.036,0.0,19.837,19.352,18.163,17.501,17.37,20.337,21.638,20.382,19.783,19.418,21.619,0.537
97,1,8.51,0.27,0.41007,-1.626,3.572,4.909,10.6,0.031,0.0,19.434,19.009,17.646,17.066,16.887,20.154,21.667,20.375,19.488,18.972,21.544,0.41
98,1,8.53,-0.35,0.20912,-2.145,3.562,5.098,11.0,0.033,0.0,21.132,20.678,19.389,18.83,18.621,21.763,23.329,21.882,21.131,20.686,23.205,0.209
99,1,8.53,0.03,1.08709,0.037,3.769,4.461,10.8,0.032,0.0,15.478,14.928,14.397,14.098,14.059,15.444,15.833,15.379,15.277,15.265,15.651,1.087
100,1,8.53,0.09,0.25823,-2.036,3.548,5.025,11.4,0.035,0.0,21.261,20.873,19.466,18.912,18.683,22.057,23.714,22.304,21.364,20.812,23.523,0.258
101,1,8.53,0.15,1.79294,1.038,3.898,4.19,12.0,0.036,0.0,14.176,13.942,13.766,13.723,13.704,14.197,14.168,14.175,14.286,14.411,14.12,1.793
102,1,8.53,0.31,0.33727,-1.821,3.559,4.967,9.8,0.027,0.0,19.122,18.712,17.332,16.766,16.557,19.872,21.457,20.1,19.194,18.664,21.294,0.337
103,1,8.53,0.31,0.27371,-2.003,3.546,5.008,10.8,0.032,0.0,20.578,20.196,18.776,18.224,17.994,21.39,23.063,21.65,20.692,20.129,22.87,0.274
104,1,8.55,-0.15,0.55482,-1.214,3.617,4.811,11.8,0.036,0.0,19.604,19.081,18.005,17.347,17.224,19.976,21.158,19.951,19.488,19.212,21.156,0.555
105,1,8.55,0.01,0.38875,-1.663,3.575,4.935,10.1,0.028,0.0,19.027,18.564,17.261,16.693,16.515,19.661,21.142,19.816,19.027,18.554,21.055,0.389
106,1,8.55,0.27,0.40679,-1.634,3.571,4.911,10.5,0.031,0.0,19.354,18.93,17.567,16.987,16.806,20.074,21.591,20.296,19.409,18.892,21.466,0.407
107,1,8.55,0.31,0.41009,-1.625,3.572,4.909,12.3,0.037,0.0,21.134,20.717,19.345,18.762,18.583,21.867,23.383,22.097,21.197,20.675,23.257,0.41
108,1,8.57,-0.05,0.61736,-1.078,3.628,4.765,10.8,0.032,0.0,18.265,17.736,16.695,16.024,15.912,18.595,19.715,18.552,18.135,17.89,19.723,0.617
109,1,8.57,-0.05,1.16648,0.214,3.792,4.406,11.5,0.035,0.0,15.736,15.236,14.769,14.518,14.485,15.708,16.009,15.65,15.582,15.594,15.853,1.166
110,1,8.57,-0.01,0.13811,-2.481,3.496,4.99,8.6,0.019,0.0,19.573,19.331,17.648,17.132,16.879,20.738,22.827,21.29,19.943,19.157,22.59,0.138
111,1,8.57,0.15,0.84836,-0.526,3.69,4.6,12.6,0.037,0.0,18.685,18.087,17.287,16.782,16.707,18.774,19.526,18.694,18.457,18.34,19.39,0.848
112,1,8.57,0.23,0.5276,-1.337,3.595,4.825,8.4,0.018,0.0,16.511,16.036,14.803,14.153,14.016,17.058,18.393,17.152,16.478,16.076,18.352,0.528
113,1,8.57,0.27,0.18398,-2.308,3.519,5.033,9.5,0.025,0.0,20.041,19.726,18.168,17.64,17.402,21.032,22.914,21.438,20.278,19.599,22.703,0.184
114,1,8.57,0.29,0.47116,-1.474,3.583,4.865,8.8,0.02,0.0,17.256,16.809,15.492,14.882,14.726,17.909,19.341,18.091,17.275,16.8,19.254,0.471
115,1,8.59,-0.25,1.38114,0.648,3.861,4.322,11.1,0.034,0.0,14.25,13.934,13.652,13.535,13.514,14.27,14.344,14.236,14.276,14.36,14.264,1.381
116,1,8.59,-0.19,1.67289,1.007,3.919,4.275,8.5,0.018,0.0,10.752,10.61,10.481,10.462,10.445,10.821,10.728,10.813,10.956,11.096,10.704,1.673
117,1,8.59,-0.15,0.38561,-1.646,3.583,4.948,12.0,0.036,0.0,20.885,20.397,19.167,18.584,18.416,21.435,22.857,21.521,20.842,20.432,22.797,0.386
118,1,8.59,-0.09,0.6354,-1.02,3.636,4.749,12.0,0.036,0.0,19.319,18.783,17.772,17.113,17.006,19.618,20.685,19.566,19.178,18.952,20.684,0.635
119,1,8.59,0.33,0.21085,-2.218,3.533,5.057,10.5,0.031,0.0,20.814,20.463,18.978,18.439,18.206,21.71,23.484,22.038,20.984,20.367,23.285,0.211
120,1,8.61,-0.09,0.3089,-1.862,3.567,5.005,10.8,0.032,0.0,20.226,19.775,18.468,17.904,17.708,20.876,22.4,21.027,20.238,19.766,22.288,0.309
121,1,8.61,-0.01,0.59152,-1.155,3.619,4.785,12.7,0.037,0.0,20.357,19.841,18.757,18.086,17.967,20.737,21.921,20.713,20.249,19.971,21.928,0.592
122,1,8.61,0.09,1.7533,1.016,3.896,4.195,8.8,0.02,0.0,11.029,10.784,10.608,10.562,10.544,11.039,11.009,11.017,11.127,11.252,10.962,1.753
123,1,8.61,0.11,0.39967,-1.642,3.573,4.919,11.9,0.036,0.0,20.775,20.334,19.001,18.428,18.248,21.455,22.957,21.641,20.805,20.311,22.851,0.4
124,1,8.63,-0.21,0.32113,-1.811,3.576,5.006,10.2,0.029,0.0,19.497,19.009,17.763,17.197,17.017,20.06,21.522,20.155,19.456,19.035,21.447,0.321
125,1,8.63,-0.15,0.386,-1.645,3.583,4.947,12.0,0.036,0.0,20.882,20.394,19.164,18.581,18.413,21.431,22.853,21.518,20.839,20.429,22.793,0.386
126,1,8.63,-0.07,0.6632,-0.951,3.643,4.728,11.6,0.035,0.0,18.748,18.204,17.219,16.57,16.469,19.017,20.038,18.957,18.595,18.386,20.033,0.663
127,1,8.63,0.11,1.92678,1.196,3.918,4.143,12.0,0.036,0.0,13.78,13.628,13.499,13.481,13.463,13.84,13.75,13.832,13.976,14.113,13.728,1.927
128,1,8.63,0.15,0.84973,-0.522,3.691,4.598,12.4,0.037,0.0,18.474,17.876,17.078,16.575,16.501,18.561,19.309,18.48,18.245,18.129,19.171,0.85
129,1,8.63,0.17,0.31869,-1.869,3.556,4.981,11.7,0.036,0.0,21.142,20.737,19.357,18.795,18.579,21.898,23.501,22.122,21.22,20.69,23.333,0.319
130,1,8.63,0.19,0.49856,-1.408,3.589,4.846,12.5,0.037,0.0,20.789,20.331,19.063,18.436,18.288,21.388,22.777,21.513,20.784,20.35,22.716,0.499
131,1,8.65,-0.35,0.26212,-1.954,3.574,5.052,11.2,0.034,0.0,20.855,20.364,19.129,18.569,18.382,21.408,22.888,21.486,20.807,20.399,22.809,0.262
132,1,8.65,-0.15,1.26022,0.421,3.824,4.361,8.6,0.019,0.0,12.318,11.888,11.513,11.326,11.302,12.295,12.479,12.248,12.23,12.279,12.363,1.26
133,1,8.65,-0.09,0.31696,-1.842,3.569,5.001,10.3,0.03,0.0,19.674,19.217,17.917,17.352,17.16,20.313,21.827,20.459,19.679,19.212,21.72,0.317
134,1,8.65,-0.03,0.56164,-1.224,3.612,4.806,9.6,0.025,0.0,17.431,16.911,15.807,15.145,15.022,17.828,19.046,17.818,17.324,17.026,19.048,0.562
135,1,8.65,0.17,0.70863,-0.882,3.644,4.69,13.5,0.038,0.0,20.475,19.931,18.937,18.29,18.19,20.751,21.791,20.694,20.323,20.109,21.787,0.709
136,1,8.65,0.19,0.32552,-1.852,3.557,4.975,11.5,0.035,0.0,20.9,20.495,19.115,18.552,18.337,21.655,23.255,21.879,20.977,20.447,23.088,0.326
137,1,8.65,0.37,0.19191,-2.287,3.525,5.052,10.4,0.03,0.0,20.886,20.557,19.028,18.497,18.262,21.839,23.674,22.21,21.095,20.441,23.47,0.192
138,1,8.67,-0.15,0.18933,-2.257,3.54,5.078,9.2,0.023,0.0,19.611,19.228,17.805,17.256,17.024,20.423,22.146,20.679,19.723,19.165,21.961,0.189
139,1,8.67,-0.13,0.13808,-2.504,3.5,5.028,7.7,0.014,0.0,18.73,18.465,16.824,16.294,16.046,19.837,21.899,20.334,19.05,18.309,21.681,0.138
140,1,8.67,-0.05,0.4412,-1.522,3.587,4.898,11.7,0.036,0.0,20.274,19.789,18.56,17.96,17.802,20.821,22.217,20.908,20.233,19.826,22.167,0.441
141,1,8.67,0.03,0.43193,-1.555,3.582,4.901,12.4,0.037,0.0,21.057,20.591,19.315,18.726,18.561,21.663,23.102,21.793,21.047,20.6,23.032,0.432
142,1,8.67,0.07,1.26597,0.374,3.805,4.331,12.6,0.037,0.0,16.435,15.951,15.522,15.303,15.272,16.4,16.663,16.343,16.295,16.323,16.518,1.266
143,1,8.67,0.11,0.15991,-2.401,3.505,5.009,10.2,0.029,0.0,20.973,20.708,19.071,18.55,18.303,22.077,24.085,22.57,21.296,20.55,23.856,0.16
